Rank,Year,Movie,Worldwide,Domestic,International
26,2011,Transformers: Dark of the Moon,"$1,123,794,079 ","$352,390,543 ","$771,403,536 "
27,2003,The Lord of the Rings: The Return of …,"$1,120,224,046 ","$377,845,905 ","$742,378,141 "
28,2012,Skyfall,"$1,110,526,981 ","$304,360,277 ","$806,166,704 "
29,2014,Transformers: Age of Extinction,"$1,104,054,072 ","$245,439,076 ","$858,614,996 "
30,2012,The Dark Knight Rises,"$1,082,228,107 ","$448,139,099 ","$634,089,008 "
31,2019,Toy Story 4,"$1,073,394,813 ","$434,038,008 ","$639,356,805 "
32,2019,Star Wars: The Rise of Skywalker,"$1,072,944,222 ","$515,202,542 ","$557,741,680 "
33,2019,Joker,"$1,072,556,671 ","$335,451,311 ","$737,105,360 "
34,2010,Toy Story 3,"$1,068,879,522 ","$415,004,880 ","$653,874,642 "
35,2006,Pirates of the Caribbean: Dead Man’s …,"$1,066,215,812 ","$423,315,812 ","$642,900,000 "
36,2016,Rogue One: A Star Wars Story,"$1,055,135,598 ","$532,177,324 ","$522,958,274 "
37,1993,Aladdin,"$1,046,961,009 ","$355,559,216 ","$691,401,793 "
38,2011,Pirates of the Caribbean: On Stranger…,"$1,045,663,875 ","$241,063,875 ","$804,600,000 "
39,1993,Jurassic Park,"$1,045,573,035 ","$402,523,348 ","$643,049,687 "
40,2017,Despicable Me 3,"$1,032,596,894 ","$264,624,300 ","$767,972,594 "
41,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677 ","$474,544,677 ","$552,500,000 "
42,2010,Alice in Wonderland,"$1,025,491,110 ","$334,191,110 ","$691,300,000 "
43,2016,Finding Dory,"$1,025,006,125 ","$486,295,561 ","$538,710,564 "
44,2012,The Hobbit: An Unexpected Journey,"$1,017,003,568 ","$303,003,568 ","$714,000,000 "
45,2016,Zootopia,"$1,005,980,798 ","$341,268,248 ","$664,712,550 "
46,2008,The Dark Knight,"$999,843,611 ","$533,720,947 ","$466,122,664 "
47,1994,The Lion King,"$986,214,868 ","$421,785,283 ","$564,429,585 "
48,2013,Despicable Me 2,"$975,216,835 ","$368,065,385 ","$607,151,450 "
49,2001,Harry Potter and the Sorcerer’s Stone,"$967,302,950 ","$317,871,467 ","$649,431,483 "
